,CR GNN,CR MLP,CR LSTM,Date
157,109.96037677310517,115.6063712919354,115.31093136542587,2018-09-11
158,110.15085818876085,115.44352411515366,115.39456581551131,2018-09-12
159,110.02377428955208,115.55505467302673,115.36713239331642,2018-09-13
160,110.25060413868464,115.34781828097402,115.45845576940617,2018-09-14
161,110.80178574150312,114.68646016305348,115.63120124495194,2018-09-15
162,111.3754216850882,113.75132499735517,115.76861806536516,2018-09-16
163,110.91993224722745,114.51483787656133,115.68233877865455,2018-09-17
164,110.7790403313797,114.71827230415603,115.65953182247985,2018-09-18
165,110.53016225434058,115.04073152690333,115.6079916132391,2018-09-19
166,110.47288052493494,115.10836291890317,115.60504425250203,2018-09-20
167,110.28711274790561,115.31097872290216,115.56723972355168,2018-09-21
168,109.80057449289417,115.7230899162191,115.435686603259,2018-09-22
169,109.88321805813317,115.66497636072404,115.47662313960201,2018-09-23
170,110.13636995966259,115.45682607395516,115.56445345383479,2018-09-24
171,110.12355636341829,115.46846428464596,115.57388333875956,2018-09-25
172,109.29156927927353,115.97695372241736,115.3305541201657,2018-09-26
173,108.51527433779317,116.0339377127583,115.05592953974715,2018-09-27
174,108.37927895594561,116.00475934360968,115.02070543380152,2018-09-28
175,108.64002480988712,116.05066555594696,115.1457015130378,2018-09-29
176,108.34500950083319,115.99562487163323,115.04824591077471,2018-09-30
177,107.84884812563027,115.784932181593,114.85848207081708,2018-10-01
178,108.15008940057382,115.93020572209073,115.00979551640566,2018-10-02
179,108.2145178897565,115.95434778786935,115.05703448757829,2018-10-03
180,108.25749863368934,115.96907463908744,115.09458859928176,2018-10-04
181,107.88950626308109,115.80761716330623,114.96484504501092,2018-10-05
182,108.14900153931903,115.92977689144286,115.09186470144455,2018-10-06
183,107.57237137720014,115.60576990472822,114.87262897142605,2018-10-07
184,107.865348567734,115.79425303737824,115.01872997130232,2018-10-08
185,107.34797190001628,115.42911772151172,114.81903562732288,2018-10-09
186,107.0709352553443,115.17365318312982,114.71637407530658,2018-10-10
187,108.01230139885104,115.87033043407851,115.13791125944472,2018-10-11
188,109.07405079965271,116.03219694956688,115.5103035730774,2018-10-12
189,108.73850100713192,116.05700084669077,115.42524747728147,2018-10-13
190,108.5668590829322,116.04202713166035,115.38690585877652,2018-10-14
191,108.17418782772785,115.93952498616889,115.27210102846162,2018-10-15
192,107.92788844219241,115.8281585415772,115.20210103220536,2018-10-16
193,107.28594236688285,115.37546262328122,114.971146007147,2018-10-17
194,107.53646899272316,115.57936361694921,115.09290114039601,2018-10-18
195,106.97303948802535,115.07375891501508,114.88263003430592,2018-10-19
196,106.56798305696356,114.6088922846386,114.72527421699084,2018-10-20
197,106.39296138007921,114.3831602281669,114.66827550668204,2018-10-21
198,105.96165540686758,113.76604298276511,114.48464770626032,2018-10-22
199,106.22087350231637,114.14712368599858,114.6366023126342,2018-10-23
200,106.05578540168904,113.90790931803632,114.58268818533197,2018-10-24
201,106.60838035450068,114.65890077192833,114.86045448027147,2018-10-25
202,106.7895977173134,114.87338026998508,114.95960722416017,2018-10-26
203,106.61927853814844,114.67225580995233,114.91008793895662,2018-10-27
204,106.47372544244928,114.48914358136508,114.87021061921018,2018-10-28
205,105.67449344295777,113.3094543384744,114.52507096537035,2018-10-29
206,105.61846708070138,113.21630027969951,114.52342618936748,2018-10-30
207,105.83759865545998,113.57313410855971,114.65436215853634,2018-10-31
208,105.90771590026486,113.68298954999301,114.71150653188072,2018-11-01
209,105.80707039845016,113.52464190112109,114.68932011150628,2018-11-02
210,105.35368678981088,112.7587333373292,114.4967041161274,2018-11-03
211,105.26890270205722,112.60633206267165,114.48070877689887,2018-11-04
212,104.70892899312187,111.5324703106741,114.21641460944718,2018-11-05
213,103.97741619324852,109.97172072186525,113.82879063310732,2018-11-06
214,103.97551777699145,109.96746361664394,113.858870101135,2018-11-07
215,102.93942076430194,107.51393704618634,113.22984083283929,2018-11-08
216,102.83123630789149,107.24510751310108,113.19072042799895,2018-11-09
217,102.29832743319822,105.89598589702769,112.8473158984604,2018-11-10
218,102.71408958190496,106.95188391074564,113.18030162249046,2018-11-11
219,102.60810896977897,106.68484878488329,113.14198497989814,2018-11-12
220,102.74970954465597,107.04126602294906,113.27480554243228,2018-11-13
221,103.60203373212222,109.11149026646088,113.85352018211057,2018-11-14
222,103.32274436553742,108.44929095873171,113.71468187501965,2018-11-15
223,102.91835399061213,107.46174217278912,113.48976737998144,2018-11-16
224,102.62816175011528,106.73549688324286,113.3306057739498,2018-11-17
225,102.93322341393659,107.49859045528602,113.56592976618225,2018-11-18
226,102.73588730649905,107.00660420720777,113.47062341806739,2018-11-19
227,102.49531996864914,106.39897385328993,113.3437565720649,2018-11-20
228,101.66374375193033,104.25354887700588,112.78279375619763,2018-11-21
229,101.40053578114862,103.56776128824845,112.61773082812753,2018-11-22
230,100.85293750619454,102.14685008290168,112.21226181482524,2018-11-23
231,100.78105479965389,101.96187016025091,112.19163947914532,2018-11-24
232,100.81840570202318,102.05792362591531,112.26304148923253,2018-11-25
233,101.1976011324506,103.03948934023286,112.61082314587225,2018-11-26
234,101.95322923716104,105.005894751212,113.21210785846712,2018-11-27
235,101.56561799656592,103.99793757594493,112.9674685161189,2018-11-28
236,102.33038983512095,105.97814376610685,113.53751644019796,2018-11-29
237,103.53784373677667,108.96087203282165,114.2898157921272,2018-11-30
238,103.76527476236122,109.49001967561367,114.43673778964481,2018-12-01
239,103.65506258344219,109.23517592973364,114.40670177249861,2018-12-02
240,103.40536979413571,108.64701807880179,114.30216677710263,2018-12-03
241,103.31637877592999,108.43399694297027,114.28203555460794,2018-12-04
242,104.22530633082576,110.51885778041301,114.76013889113432,2018-12-05
243,104.76103530592967,111.63711239641137,115.01146444340797,2018-12-06
244,105.09837027598772,112.29145049790907,115.16103179556623,2018-12-07
245,105.05588036369684,112.2112958442746,115.16475722040597,2018-12-08
246,105.02507384959074,112.15276492583509,115.17272307671706,2018-12-09
247,105.83145292226963,113.5634041592752,115.45182370488428,2018-12-10
248,105.64497829289957,113.26054253875584,115.41270983931594,2018-12-11
249,105.89007393977168,113.65554975387538,115.4975435453847,2018-12-12
250,106.92472930870946,115.02264582823281,115.73884120877558,2018-12-13
251,106.5473680341388,114.5830676912957,115.67806229646311,2018-12-14
252,106.20875351711928,114.12998310183707,115.6165536031474,2018-12-15
253,105.26613945179886,112.60131814468286,115.37770487778273,2018-12-16
254,104.62000203895576,111.351761032578,115.17848683516618,2018-12-17
255,105.0315043025448,112.16501123749705,115.33703939676867,2018-12-18
256,104.9479513279664,112.00471832814449,115.32709389721265,2018-12-19
257,105.44063244431523,112.91208984773566,115.48991669491242,2018-12-20
258,105.71932759596916,113.3830557133426,115.5756152502923,2018-12-21
259,104.9803196364388,112.06711604661301,115.38701114016125,2018-12-22
260,105.39146321547577,112.82573170248303,115.51919337446917,2018-12-23
261,104.8266354914263,111.76752422214895,115.37208103193228,2018-12-24
262,104.73866150237944,111.59229407714602,115.36103163671403,2018-12-25
263,104.83236811549376,111.77884945978498,115.40601317452175,2018-12-26
264,103.66776882473803,109.26471059258552,115.01383391288442,2018-12-27
265,103.19196501435157,108.133390706497,114.83324138986455,2018-12-28
266,102.46209083665488,106.3144427881693,114.50668455325186,2018-12-29
267,102.26639172915203,105.81404895011576,114.43057014824703,2018-12-30
268,102.7875968449343,107.13612526864222,114.71801235709668,2018-12-31
269,103.25855149872054,108.29467123836942,114.95172953302644,2019-01-01
270,102.39866352241191,106.152725470069,114.57752410618143,2019-01-02
271,102.53509025383838,106.49996423103131,114.67012842034532,2019-01-03
272,103.03480593190764,107.7492885997289,114.92221240098137,2019-01-04
273,103.70210424086056,109.34432141990928,115.20596549143833,2019-01-05
274,104.25773183645732,110.58910423245305,115.40694224181662,2019-01-06
275,104.59545773067691,111.3014195397243,115.51753844160608,2019-01-07
276,104.53381842968135,111.17412127497246,115.5151201893414,2019-01-08
277,104.34823540242594,110.78349053810344,115.47885974252645,2019-01-09
278,103.54290076198782,108.97277329092205,115.24170241108173,2019-01-10
279,103.16216900931694,108.06093368100835,115.12067376096158,2019-01-11
280,103.20212956490269,108.15806828026977,115.15543455510657,2019-01-12
281,103.07922105013267,107.85831570146863,115.12833108035656,2019-01-13
282,103.28459790597779,108.35751226160572,115.22351285915708,2019-01-14
283,103.38319411173045,108.59409587147393,115.27619127248154,2019-01-15
284,103.31298477351356,108.42583898084406,115.26981381717579,2019-01-16
285,102.74900619775511,107.03950295142614,115.07936681911441,2019-01-17
286,102.38539805693554,106.118844670158,114.94966613312134,2019-01-18
287,103.35520815597454,108.52715443974796,115.33611592136177,2019-01-19
288,102.32545084134297,105.96549486149782,114.9672691719959,2019-01-20
289,101.61891125903473,104.13678289298245,114.66199848438488,2019-01-21
290,102.09960408747428,105.38459271753517,114.91262339210965,2019-01-22
291,102.28373903768957,105.85856928797004,115.01359021774624,2019-01-23
292,102.06376179111531,105.29200179131237,114.94090018946525,2019-01-24
293,101.72672489727938,104.4175026385554,114.81039273898593,2019-01-25
294,102.18694426343549,105.60978755294437,115.03608032590095,2019-01-26
295,102.41591084290364,106.1967463545659,115.14773664650248,2019-01-27
296,102.62901330770076,106.7376464643246,115.24565696754247,2019-01-28
297,102.28504624256982,105.86192290491876,115.13612848503163,2019-01-29
298,102.24889994322675,105.7691280390739,115.1416380066456,2019-01-30
299,102.38869783091235,106.12727433794981,115.21361085416886,2019-01-31
300,102.7342440640215,107.00248154985532,115.35136140154445,2019-02-01
301,102.54255734443049,106.51890325239603,115.30424553929979,2019-02-02
302,101.92504210882424,104.9328103286204,115.092557263799,2019-02-03
303,101.51966972644311,103.87820505712864,114.94108458001311,2019-02-04
304,101.36961151735548,103.48719765332817,114.89523152278889,2019-02-05
305,101.42908782610101,103.64215568586887,114.94431231467705,2019-02-06
306,101.22809620864312,103.11879340072116,114.87464904303468,2019-02-07
307,101.4018398626236,103.57115896539253,114.97554731496547,2019-02-08
308,102.82966439214462,107.24118719428625,115.50362971478154,2019-02-09
309,102.53409703580753,106.49744455863697,115.43255245764404,2019-02-10
310,103.19016119305084,108.12900922448088,115.62124798384663,2019-02-11
311,103.64932451860884,109.22182528663444,115.72597555174558,2019-02-12
312,103.92654773750695,109.85731026833687,115.7798002916562,2019-02-13
313,104.56643884250948,111.24164424509217,115.85861089305678,2019-02-14
314,104.62644895289115,111.36495083822547,115.86707177847993,2019-02-15
315,105.31807200564656,112.6950557871325,115.89264645456075,2019-02-16
316,105.51482928402012,113.04057446000968,115.88945026218099,2019-02-17
317,105.92641386571229,113.71192385933908,115.86778397911519,2019-02-18
318,106.28060832090374,114.23061558814081,115.83194727203178,2019-02-19
319,105.67441353275665,113.30932240346785,115.87683880896282,2019-02-20
320,105.49393703487237,113.00462015944115,115.88306163668649,2019-02-21
321,105.96238337046127,113.76715514559477,115.84796285337113,2019-02-22
322,106.33145192212706,114.30037811734447,115.80066358069317,2019-02-23
323,106.97008779369344,115.0706702434603,115.68624998726465,2019-02-24
324,106.98016894861124,115.08120077978401,115.67368282599509,2019-02-25
325,106.9239336721152,115.02179404798947,115.67452312179995,2019-02-26
326,107.22928850977371,115.32465823103672,115.59520967018125,2019-02-27
327,106.27659306861736,114.22505509522824,115.77115000744311,2019-02-28
328,106.55834114668814,114.59683937660749,115.71505190593933,2019-03-01
329,106.54712043958567,114.58275627932444,115.70740325969598,2019-03-02
330,107.06351467028006,115.1662548798253,115.58505018533454,2019-03-03
331,106.39439271132458,114.38506539702485,115.71627375012329,2019-03-04
332,106.51711847119797,114.54480252847179,115.68276747488795,2019-03-05
333,106.68777051376783,114.75485769700413,115.63586806808928,2019-03-06
334,107.24006755226836,115.33445604941863,115.48460617793815,2019-03-07
335,106.78205619443123,114.8647791888785,115.59004624641642,2019-03-08
336,106.81797590230033,114.90549027339311,115.56852852153882,2019-03-09
337,107.04769572456026,115.15038796243269,115.49472062419122,2019-03-10
338,107.47760242590576,115.53452820374879,115.35064459362682,2019-03-11
339,108.05491449195898,115.8900407195111,115.12788346287728,2019-03-12
340,107.73662526050578,115.71741344122266,115.22732021511541,2019-03-13
341,108.68558162079766,116.05435419896035,114.81738747653529,2019-03-14
342,109.15926978085713,116.01427512210047,114.5601057803732,2019-03-15
343,108.83878352744149,116.05715384828999,114.69689464476822,2019-03-16
344,109.16295981170863,116.0133912626587,114.5064034692738,2019-03-17
345,108.80524317650901,116.05781405390927,114.66433694373741,2019-03-18
346,108.52962533381863,116.03635355024183,114.77305464742027,2019-03-19
347,108.78276272074932,116.05785574625122,114.62580840450913,2019-03-20
348,109.09440992744727,116.02834841452847,114.43746509848758,2019-03-21
349,109.68307257631496,115.79749099614982,114.06925975145221,2019-03-22
350,109.7438482385279,115.7602089665787,114.00165298113217,2019-03-23
351,109.2625197812215,115.98614454676617,114.26141728591817,2019-03-24
352,109.36004305817042,115.95305776507425,114.17616959476307,2019-03-25
353,108.1083071452561,115.91323162999639,114.8040269691377,2019-03-26
354,107.30219273040322,115.38971875927173,115.12058926233475,2019-03-27
355,107.24142320719791,115.33568392506226,115.12398234167198,2019-03-28
356,107.08336178409212,115.18597824692871,115.16380199752274,2019-03-29
357,107.24129085849981,115.33556409415012,115.08404174007036,2019-03-30
358,107.92871703326443,115.8285926007472,114.76919641719063,2019-03-31
359,107.2534562353591,115.34653989027879,115.03821275600328,2019-04-01
360,106.44790380058133,114.45559581166162,115.3127204131448,2019-04-02
361,106.63212741714551,114.6879268343423,115.23234896128858,2019-04-03
362,107.6014859706774,115.62665891857607,114.82465856304384,2019-04-04
363,107.99185509801299,115.86049621472527,114.61706846039262,2019-04-05
364,106.80102729306927,114.88636141575338,115.11322091937114,2019-04-06
365,106.54292485339182,114.57747478229037,115.18954156835532,2019-04-07
366,106.80932107411407,114.89574010406807,115.0697265957024,2019-04-08
367,106.43970712592743,114.44488022366353,115.18895492358882,2019-04-09
368,106.98392012630724,115.08510584678955,114.95714291825101,2019-04-10
369,107.51892801666601,115.5662031485313,114.69643497165846,2019-04-11
370,107.5905445259296,115.61886395005068,114.63754979732359,2019-04-12
371,107.71727490608139,115.70504841555338,114.54985319926256,2019-04-13
372,107.1534545199701,115.25398811332204,114.79335759204818,2019-04-14
373,107.05096180262719,115.15367458271241,114.81598291457561,2019-04-15
374,107.57306584444639,115.60627364854284,114.54470961725033,2019-04-16
375,107.12547468286084,115.2271481977321,114.73496970593504,2019-04-17
376,106.02956410890476,113.86878536756635,115.16619742813097,2019-04-18
377,105.87133761927802,113.62625987069113,115.2042691683977,2019-04-19
378,105.44922258052571,112.9270782901451,115.32952503947452,2019-04-20
379,105.46367235113779,112.95222426388732,115.30767228089078,2019-04-21
380,106.37813499869462,114.36336881639153,114.94803696475202,2019-04-22
381,107.04296547194771,115.14561815350723,114.62672275301655,2019-04-23
